Problem,Outlier,Outlier (wnid),Inliers,Inliers (wnid)
1,puppy,n01322604,bracelet cave gas_burner pasta boot bathrobe chalk bouquet gravy carnation,n02887970 n09238926 n03422072 n07863374 n02873520 n02807616 n03003091 n02879087 n07838073 n04971211
2,bluebird,n01562014,frog chisel bicycle bin shirt ceiling cabbage chalk son gas_burner,n01639765 n03020692 n02834778 n02839910 n04197391 n02990373 n07713895 n03003091 n10624074 n03422072
3,frog,n01639765,cheese cabbage apple saguaro pot cave bathrobe caterpillar butter cereal_box,n07850329 n07713895 n07739125 n11844371 n03990474 n09238926 n02807616 n02309337 n07848338 n02998003
4,alligator,n01698434,bluebird rock button chain giraffe bridge beef chicken bumper alcohol,n01562014 n09416076 n02928608 n02999936 n02439033 n02898711 n02404186 n01791625 n02918595 n07884567
5,chicken,n01791625,pasta gas_burner brake cherry bluebird chapel bumper arch candy child,n07863374 n03422072 n02889646 n07757132 n01562014 n03007130 n02918595 n02733524 n07597365 n09918248
6,kangaroo,n01877134,beef bread beef_wellington cave bullet birch cabbage rabbit aisle bacon_and_eggs,n02404186 n07679356 n07862611 n09238926 n02916350 n12281241 n07713895 n02324045 n02694045 n07862244
7,cat,n02121620,caterpillar rat rock ball antelope cereal_box carrot rug chalk wheel,n02309337 n02331046 n09416076 n02778669 n02419796 n02998003 n07730207 n04118021 n03003091 n04574999
8,beetle,n02164464,giraffe child bicycle flag ape birch back old_world_buffalo ball beef_wellington,n02439033 n09918248 n02834778 n03354903 n02470325 n12281241 n02767665 n02407959 n02778669 n07862611
9,butterfly,n02274259,arch cemetery celery boot concert_band beef gas_burner house_of_cards blackboard sugar,n02733524 n08521623 n07730406 n02873520 n08249459 n02404186 n03422072 n03545756 n02846511 n07859284
10,caterpillar,n02309337,bullet grass birch book beef bluebird carrot squirrel biscuit blackboard,n02916350 n12102133 n12281241 n02870526 n02404186 n01562014 n07730207 n02355227 n07693972 n02846511
11,rabbit,n02324045,alcohol honey bluebird sleeve syrup breakfast bed grass cave chocolate_fudge,n07884567 n07858978 n01562014 n04236377 n07859583 n07574602 n02818832 n12102133 n09238926 n07605597
12,mouse,n02330245,grass canteen car rat chain arch bed flag bell gas_burner,n12102133 n02952374 n02958343 n02331046 n02999936 n02733524 n02818832 n03354903 n02824448 n03422072
